,full_path,file_name,class_name,feature_array,feature_array_size
0,./Sample-kelapa/data/cut_sample/matang/wav/mtg10a.wav,mtg10a.wav,mature,"[[ 2.00009825e+00 -3.23122781e-01  1.55573374e-02 ...  2.16454268e-02
   1.71325016e-02  1.34066622e-03]
 [ 2.02122263e+00 -2.93776390e-01  1.84971701e-02 ... -1.56000613e-02
  -8.70259751e-03  1.19894178e-02]
 [ 2.03700220e+00 -3.10501154e-01  1.21652030e-02 ...  1.04684105e-02
   1.47597369e-03  3.91711215e-03]
 ...
 [ 1.35246519e+00 -1.25170233e-01 -4.43595536e-02 ...  4.83790734e-03
  -1.50804665e-02  2.19585658e-02]
 [ 1.33225538e+00 -1.34225266e-01 -3.78483511e-02 ...  1.41154471e-03
  -1.00609288e-02  2.20542530e-02]
 [ 1.31965770e+00 -1.18918318e-01 -1.37023519e-02 ... -2.39146930e-03
  -1.28392001e-02  1.74415350e-02]]","(98, 14)"
1,./Sample-kelapa/data/cut_sample/matang/wav/mtg10b.wav,mtg10b.wav,mature,"[[ 2.03020507e+00 -3.08123169e-01  2.39846089e-02 ...  7.80014421e-03
   2.72485162e-02 -3.98113474e-03]
 [ 2.01855074e+00 -3.29777927e-01 -9.38913831e-03 ... -1.21102096e-02
  -1.84439069e-03 -1.01504104e-02]
 [ 2.03659487e+00 -2.85375464e-01  2.73765100e-02 ...  9.28673991e-03
  -6.82539859e-03 -7.37529589e-03]
 ...
 [ 1.26827106e+00 -1.30633258e-01 -3.28671651e-02 ... -5.48885300e-03
  -1.78482500e-02 -2.95575338e-03]
 [ 1.27004043e+00 -1.60092751e-01 -2.49307532e-02 ... -6.61394618e-04
   8.21603088e-03  6.49256373e-03]
 [ 1.26492875e+00 -1.75092474e-01 -4.25794645e-02 ...  7.04722772e-03
  -8.71633058e-03  1.36885332e-02]]","(98, 14)"
2,./Sample-kelapa/data/cut_sample/matang/wav/mtg10c.wav,mtg10c.wav,mature,"[[ 2.05320159e+00 -3.09262719e-01  1.03962221e-02 ... -1.99791163e-02
   8.98232079e-03  2.13647500e-02]
 [ 2.02692944e+00 -3.33915695e-01  3.07541391e-02 ...  2.85783568e-02
   3.23101237e-02  1.83323855e-02]
 [ 2.03456280e+00 -3.30492473e-01  3.20866352e-02 ...  2.25092098e-02
  -1.56133641e-03 -1.04415283e-02]
 ...
 [ 1.68172714e+00  3.11150855e-02 -4.14794868e-01 ...  1.44767777e-02
  -3.75722328e-02 -6.30303446e-02]
 [ 1.59273563e+00  5.96956033e-02 -3.25155825e-01 ... -1.75770887e-02
   1.35318778e-02 -1.40735859e-02]
 [ 1.57446987e+00  6.63954818e-02 -3.63823919e-01 ... -3.83309852e-02
   7.36321615e-03 -1.53953048e-02]]","(98, 14)"
3,./Sample-kelapa/data/cut_sample/matang/wav/mtg11a.wav,mtg11a.wav,mature,"[[ 2.15249776e+00 -2.74588274e-01 -1.02026208e-02 ... -8.04193360e-03
   9.45265391e-04  2.78936233e-02]
 [ 2.15987422e+00 -3.11206085e-01 -4.61252891e-02 ...  6.71727496e-03
   1.84480927e-02 -6.41025373e-03]
 [ 2.17426709e+00 -2.88335677e-01 -3.19292663e-02 ...  9.47971589e-03
   2.76781349e-02  2.95413064e-02]
 ...
 [ 2.42485064e+00 -3.06886670e-01 -5.55023097e-01 ... -2.56933708e-02
   1.08257894e-01 -8.49571868e-02]
 [ 2.37080730e+00 -2.78281416e-01 -5.41374363e-01 ... -2.37544271e-02
   8.32133359e-02 -6.54520791e-02]
 [ 2.16546895e+00 -4.17780470e-01 -4.62344100e-01 ... -8.01204075e-02
   5.40947942e-02 -8.71272791e-02]]","(98, 14)"
4,./Sample-kelapa/data/cut_sample/matang/wav/mtg11b.wav,mtg11b.wav,mature,"[[ 2.08543327e+00 -3.48263053e-01 -2.70085475e-02 ...  1.32613608e-02
   2.92677139e-03 -1.29311841e-02]
 [ 2.07239308e+00 -3.36073351e-01 -1.78916419e-02 ...  8.81587203e-03
   1.14898214e-02  5.14320884e-04]
 [ 2.07475240e+00 -3.36499091e-01 -8.42009351e-03 ... -4.02253681e-03
   1.03371758e-02 -1.30602284e-03]
 ...
 [ 1.77339196e+00 -5.19252443e-01 -1.40483722e-01 ... -7.33943476e-02
   5.40362496e-02 -4.51981232e-02]
 [ 1.25777716e+00 -8.33497046e-02 -1.19374945e-02 ... -2.34072303e-03
   1.54748787e-02 -1.78883479e-03]
 [ 1.24733388e+00 -1.00796751e-01 -2.13744774e-02 ... -7.49910189e-03
   3.82645808e-03 -8.41886037e-03]]","(98, 14)"
5,./Sample-kelapa/data/cut_sample/matang/wav/mtg11c.wav,mtg11c.wav,mature,"[[ 2.17030735e+00 -2.99511133e-01 -3.83391940e-02 ...  1.11563848e-02
  -6.11385180e-03 -5.35603584e-03]
 [ 2.17139958e+00 -3.11329884e-01 -3.72250179e-02 ...  1.61341987e-02
  -1.52362493e-03 -4.70719613e-03]
 [ 2.18296281e+00 -2.92093601e-01 -3.57487813e-02 ...  1.77624283e-02
   9.03217328e-04 -5.13782691e-03]
 ...
 [ 3.04449183e+00 -3.92230389e-01  1.59495922e-01 ...  4.57297217e-02
   1.95806905e-02  5.68521850e-02]
 [ 2.94988778e+00 -5.96379186e-01  7.96302162e-02 ... -1.08616266e-02
  -3.58067000e-02 -1.68116395e-02]
 [ 2.27667532e+00 -9.90139913e-01  1.03561452e-01 ...  1.68337093e-02
   1.91222598e-02  2.09638863e-02]]","(98, 14)"
6,./Sample-kelapa/data/cut_sample/matang/wav/mtg12a.wav,mtg12a.wav,mature,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","(98, 14)"
7,./Sample-kelapa/data/cut_sample/matang/wav/mtg12b.wav,mtg12b.wav,mature,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","(98, 14)"
8,./Sample-kelapa/data/cut_sample/matang/wav/mtg12c.wav,mtg12c.wav,mature,"[[ 2.19006599 -0.38771651  0.01136788 ...  0.02248754  0.04489518
  -0.03146604]
 [ 2.12304016 -0.3952193   0.00712593 ...  0.02804366  0.02650757
  -0.01650325]
 [ 2.13190912 -0.38202808  0.00653743 ...  0.05887692  0.02389391
  -0.0061447 ]
 ...
 [ 2.42348731 -0.35459089 -0.5128367  ... -0.01652369  0.12522499
  -0.04489189]
 [ 2.42334337 -0.38531349 -0.50084112 ...  0.00376554  0.11450439
  -0.04802619]
 [ 1.85642713 -0.3749096  -0.58453108 ...  0.05517312 -0.00632364
  -0.06546895]]","(98, 14)"
9,./Sample-kelapa/data/cut_sample/matang/wav/mtg13a.wav,mtg13a.wav,mature,"[[ 2.48132845e+00 -5.35641247e-01 -6.59678228e-02 ... -5.87084343e-04
   1.11632599e-02 -2.53905852e-03]
 [ 2.40990633e+00 -5.04482897e-01 -5.78635082e-02 ...  1.45906822e-03
   9.71514810e-03 -1.46586475e-02]
 [ 2.40737504e+00 -4.62565486e-01 -2.63199576e-02 ... -6.36668263e-03
   7.92492970e-03 -8.40597549e-03]
 ...
 [ 3.19698481e+00 -3.55326013e-01  1.07344353e-01 ... -3.53683311e-02
   1.45566973e-02 -2.20229988e-02]
 [ 3.10856227e+00 -2.80633095e-01  3.36499900e-02 ... -3.32901180e-02
   5.36330658e-03  2.62123648e-02]
 [ 2.65495943e+00 -3.66021262e-01 -1.61788353e-01 ... -5.49997689e-02
   1.11628318e-03  3.32479215e-02]]","(98, 14)"
10,./Sample-kelapa/data/cut_sample/matang/wav/mtg13b.wav,mtg13b.wav,mature,"[[ 2.4411372  -0.40656626 -0.2395563  ...  0.05370281 -0.02167109
  -0.00532059]
 [ 2.44897533 -0.43544018 -0.19893904 ...  0.03507699 -0.00541951
   0.0034389 ]
 [ 2.35077458 -0.44686345 -0.19991623 ...  0.0337246  -0.03317723
  -0.02231289]
 ...
 [ 2.19585184  0.5964365  -0.10739858 ...  0.05131295 -0.00544384
  -0.062227  ]
 [ 1.72130787  0.47157247  0.35252512 ... -0.02021963 -0.07165756
  -0.0500494 ]
 [ 1.71619119  0.49403091  0.35518721 ... -0.04310235 -0.06007409
  -0.0392602 ]]","(98, 14)"
11,./Sample-kelapa/data/cut_sample/matang/wav/mtg13c.wav,mtg13c.wav,mature,"[[ 2.02633203e+00 -3.51239720e-01  2.31359349e-02 ...  1.70805200e-02
   3.23597885e-03 -8.55041497e-03]
 [ 2.03732173e+00 -3.22363751e-01  3.96207745e-02 ...  7.53637483e-04
   4.15759187e-03 -1.02464556e-02]
 [ 2.02992058e+00 -3.11727092e-01  2.81616707e-02 ...  1.22179741e-02
  -4.80655035e-03 -3.72777311e-03]
 ...
 [ 1.72578245e+00  4.35960574e-01  7.20457935e-02 ...  4.02265486e-02
  -2.72099748e-02 -1.13598332e-01]
 [ 1.74771813e+00  4.62810908e-01  9.37485973e-02 ...  1.31774270e-02
  -4.02500774e-02 -1.24295324e-01]
 [ 1.65626360e+00  3.83261990e-01  1.22723297e-01 ...  7.95377637e-03
   4.29612802e-02 -3.70483289e-02]]","(98, 14)"
