file_name,class_name
mtg10_a.mp3,mature
mtg10_b.mp3,mature
mtg10_c.mp3,mature
mtg11_a.mp3,mature
mtg11_b.mp3,mature
mtg11_c.mp3,mature
mtg12_a.mp3,mature
mtg12_b.mp3,mature
mtg12_c.mp3,mature
mtg13_a.mp3,mature
mtg13_b.mp3,mature
mtg13_c.mp3,mature
mtg14_a.mp3,mature
mtg14_b.mp3,mature
mtg14_c.mp3,mature
mtg15_a.mp3,mature
mtg15_b.mp3,mature
mtg15_c.mp3,mature
mtg16_a.mp3,mature
mtg16_b.mp3,mature
mtg16_c.mp3,mature
mtg17_a.mp3,mature
mtg17_b.mp3,mature
mtg17_c.mp3,mature
mtg18_a.mp3,mature
mtg18_b.mp3,mature
mtg18_c.mp3,mature
mtg19_a.mp3,mature
mtg19_b.mp3,mature
mtg19_c.mp3,mature
mtg1_a.mp3,mature
mtg1_b.mp3,mature
mtg1_c.mp3,mature
mtg20_a.mp3,mature
mtg20_b.mp3,mature
mtg20_c.mp3,mature
mtg2_a.mp3,mature
mtg2_b.mp3,mature
mtg2_c.mp3,mature
mtg3_a.mp3,mature
mtg3_b.mp3,mature
mtg3_c.mp3,mature
mtg4_a.mp3,mature
mtg4_b.mp3,mature
mtg4_c.mp3,mature
mtg5_a.mp3,mature
mtg5_b.mp3,mature
mtg5_c.mp3,mature
mtg6_a.mp3,mature
mtg6_b.mp3,mature
mtg6_c.mp3,mature
mtg7_a.mp3,mature
mtg7_b.mp3,mature
mtg7_c.mp3,mature
mtg8_a.mp3,mature
mtg8_b.mp3,mature
mtg8_c.mp3,mature
mtg9_a.mp3,mature
mtg9_b.mp3,mature
mtg9_c.mp3,mature
wav,mature
muda10_a.mp3,immature
muda10_b.mp3,immature
muda10_c.mp3,immature
muda11_a.mp3,immature
muda11_b.mp3,immature
muda11_c.mp3,immature
muda12_a.mp3,immature
muda12_b.mp3,immature
muda12_c.mp3,immature
muda13_a.mp3,immature
muda13_b.mp3,immature
muda13_c.mp3,immature
muda1_a.mp3,immature
muda1_b.mp3,immature
muda1_c.mp3,immature
muda2_a.mp3,immature
muda2_b.mp3,immature
muda2_c.mp3,immature
muda3_a.mp3,immature
muda3_b.mp3,immature
muda3_c.mp3,immature
muda4_a.mp3,immature
muda4_b.mp3,immature
muda4_c.mp3,immature
muda5_a.mp3,immature
muda5_b.mp3,immature
muda5_c.mp3,immature
muda6_a.mp3,immature
muda6_b.mp3,immature
muda6_c.mp3,immature
muda7_a.mp3,immature
muda7_b.mp3,immature
muda7_c.mp3,immature
muda8_a.mp3,immature
muda8_b.mp3,immature
muda8_c.mp3,immature
muda9_a.mp3,immature
muda9_b.mp3,immature
muda9_c.mp3,immature
wav,immature
tua10_a.mp3,overmature
tua10_b.mp3,overmature
tua10_c.mp3,overmature
tua11_a.mp3,overmature
tua11_b.mp3,overmature
tua11_c.mp3,overmature
tua1_a.mp3,overmature
tua1_b.mp3,overmature
tua1_c.mp3,overmature
tua2_a.mp3,overmature
tua2_b.mp3,overmature
tua2_c.mp3,overmature
tua3_a.mp3,overmature
tua3_b.mp3,overmature
tua3_c.mp3,overmature
tua4_a.mp3,overmature
tua4_b.mp3,overmature
tua4_c.mp3,overmature
tua5_a.mp3,overmature
tua5_b.mp3,overmature
tua5_c.mp3,overmature
tua6_a.mp3,overmature
tua6_b.mp3,overmature
tua6_c.mp3,overmature
tua7_a.mp3,overmature
tua7_b.mp3,overmature
tua7_c.mp3,overmature
tua8_a.mp3,overmature
tua8_b.mp3,overmature
tua8_c.mp3,overmature
tua9_a.mp3,overmature
tua9_b.mp3,overmature
tua9_c.mp3,overmature
wav,overmature
